Frooty,3,70
Doritos,6,120
Feroro Rocher,10,70
Feroro Rocher,3,30
Wafer Sticks,8,120
Feroro Rocher,10,100
Ice-Cream,2,50
Peanuts,5,30
Doritos,6,100
Thumbs Up,9,500
Croissant,10,50
Ice-Cream,3,100
Peanuts,8,60
Kurkure,7,500
Thumbs Up,3,500
Peanuts,8,30
Wafer Sticks,2,15
Doritos,9,90
Croissant,7,500
Feroro Rocher,5,200
Doritos,8,60
Doritos,10,90
Feroro Rocher,9,50
Croissant,4,30
Lays,6,500
Wafer Sticks,4,90
Feroro Rocher,1,50
Doritos,2,90
Wafer Sticks,2,50
Frooty,4,60
Ice-Cream,3,70
Croissant,3,15
Croissant,4,15
Frooty,2,60
Kurkure,4,90
Thumbs Up,10,70
Peanuts,2,120
Kurkure,8,500
Peanuts,8,15
Kurkure,7,70
Thumbs Up,3,200
Feroro Rocher,3,60
Frooty,8,50
Wafer Sticks,5,200
Wafer Sticks,1,120
Frooty,9,90
Doritos,9,15
Ice-Cream,4,500
Ice-Cream,6,50
Peanuts,2,100
Lays,4,120
Croissant,2,30
Thumbs Up,9,200
Doritos,1,50
Wafer Sticks,8,500
Croissant,8,30
Kurkure,2,90
Thumbs Up,4,30
Thumbs Up,10,90
Kurkure,8,70
Lays,4,70
Kurkure,1,100
Croissant,5,200
Ice-Cream,2,15
Croissant,4,200
Lays,6,200
Lays,5,30
Wafer Sticks,6,120
Lays,8,60
Croissant,7,90
Croissant,7,70
Ice-Cream,6,100
Feroro Rocher,3,70
Frooty,5,50
Doritos,4,70
Lays,3,30
Croissant,4,120
Ice-Cream,6,50
Kurkure,2,200
Croissant,2,70
Frooty,3,500
Frooty,4,70
Peanuts,1,15
Feroro Rocher,6,15
Feroro Rocher,3,90
Ice-Cream,7,30
Peanuts,7,60
Kurkure,1,50
Lays,1,60
Thumbs Up,4,60
Feroro Rocher,8,500
Kurkure,10,50
Ice-Cream,6,50
Wafer Sticks,10,200
Doritos,1,120
Doritos,5,100
Lays,4,15
Peanuts,5,30
Doritos,1,100
Thumbs Up,5,100
Kurkure,5,30
Ice-Cream,2,200
Wafer Sticks,9,70
Ice-Cream,2,200
Doritos,7,15
Kurkure,4,120
Frooty,4,50
Croissant,7,15
Croissant,7,30
Kurkure,9,30
Wafer Sticks,6,70
Ice-Cream,10,15
Doritos,4,60
Feroro Rocher,10,50
Kurkure,10,30
Feroro Rocher,2,60
Frooty,10,100
Thumbs Up,8,50
Wafer Sticks,1,15
Thumbs Up,10,90
Croissant,1,90
Wafer Sticks,5,50
Peanuts,9,500
Peanuts,2,70
Doritos,6,30
Peanuts,9,120
Feroro Rocher,4,30
Kurkure,10,50
Lays,9,15
Feroro Rocher,9,100
Frooty,6,120
Peanuts,6,15
Lays,4,100
Feroro Rocher,5,200
Lays,7,100
Feroro Rocher,2,30
Frooty,5,50
Frooty,3,90
Kurkure,6,15
Lays,6,70
Lays,9,15
Croissant,3,200
Peanuts,5,70
Wafer Sticks,8,500
Doritos,8,70
Kurkure,3,60
Feroro Rocher,9,120
